#(dyne/cm2) (K)
Pressure	 Temp
9.082e+08    7528.1
7.490e+08    7124.8
6.177e+08    6743.2
5.095e+08    6382.0
4.202e+08    6040.2
3.465e+08    5716.7
2.858e+08    5410.5
2.357e+08    5120.7
1.944e+08    4846.4
1.603e+08    4586.8
1.322e+08    4341.1
1.091e+08    4108.6
8.994e+07    3888.6
7.418e+07    3680.3
6.118e+07    3483.2
5.046e+07    3296.6
4.161e+07    3120.0
3.432e+07    2952.9
2.831e+07    2794.7
2.335e+07    2645.0
1.925e+07    2503.4
1.588e+07    2369.3
1.310e+07    2242.4
1.080e+07    2122.3
8.908e+06    2008.6
7.347e+06    1901.0
6.059e+06    1799.2
4.997e+06    1702.8
4.122e+06    1619.5
3.399e+06    1544.6
2.803e+06    1476.5
2.312e+06    1415.2
1.907e+06    1358.8
1.573e+06    1300.7
1.297e+06    1235.1
1.070e+06    1168.9
8.823e+05    1106.3
7.277e+05    1047.0
6.001e+05     991.0
4.949e+05     937.9
4.082e+05     887.6
3.367e+05     840.1
2.777e+05     795.1
2.290e+05     752.5
1.889e+05     712.2
1.558e+05     674.1
1.285e+05     638.0
1.060e+05     607.7
8.738e+04     581.1
7.207e+04     556.3
5.944e+04     533.6
4.902e+04     513.3
4.043e+04     495.1
3.334e+04     477.9
2.750e+04     461.9
2.268e+04     447.2
1.871e+04     433.6
1.543e+04     420.7
1.272e+04     408.5
1.049e+04     397.3
8.654e+03     386.9
7.138e+03     377.0
5.887e+03     367.8
4.855e+03     359.5
4.004e+03     351.9
3.302e+03     344.5
2.724e+03     337.3
2.246e+03     330.4
1.853e+03     323.5
1.528e+03     316.8
1.260e+03     310.3
1.039e+03     304.5
8.571e+02     299.1
7.069e+02     293.8
5.830e+02     288.3
4.808e+02     282.3
3.966e+02     275.7
3.271e+02     268.7
2.698e+02     261.8
2.225e+02     255.3
1.835e+02     249.3
1.513e+02     243.9
1.248e+02     239.3
1.029e+02     235.4
8.489e+01     232.2
7.001e+01     229.5
5.774e+01     227.2
4.762e+01     225.2
3.928e+01     223.3
3.239e+01     221.6
2.672e+01     220.1
2.203e+01     218.7
1.817e+01     217.4
1.499e+01     216.2
1.236e+01     215.2
1.019e+01     214.3
8.408e+00     213.6
6.934e+00     213.0
5.719e+00     212.5
4.717e+00     212.2
3.890e+00     212.0
3.208e+00     211.9
2.646e+00     211.9
