#(dyne/cm2) (K)
Pressure	 Temp
1.000e+09    1896.0
8.994e+08    1839.0
7.277e+08    1739.1
5.887e+08    1653.0
4.762e+08    1578.8
3.853e+08    1515.1
3.117e+08    1460.0
2.522e+08    1414.3
2.040e+08    1378.0
1.650e+08    1348.4
1.335e+08    1324.7
1.080e+08    1306.2
8.738e+07    1292.2
7.069e+07    1281.3
5.719e+07    1273.1
4.627e+07    1266.9
3.743e+07    1262.3
3.028e+07    1258.9
2.450e+07    1256.3
1.982e+07    1254.3
1.603e+07    1252.9
1.297e+07    1251.8
1.049e+07    1251.1
8.489e+06    1250.5
6.868e+06    1250.1
5.556e+06    1249.8
4.495e+06    1249.8
3.636e+06    1249.5
2.942e+06    1248.4
2.380e+06    1245.4
1.925e+06    1239.7
1.558e+06    1230.3
1.260e+06    1215.3
1.019e+06    1193.9
8.247e+05    1167.8
6.672e+05    1137.0
5.398e+05    1102.2
4.367e+05    1064.3
3.533e+05    1023.9
2.858e+05     983.2
2.312e+05     944.5
1.871e+05     909.3
1.513e+05     874.7
1.224e+05     835.6
9.904e+04     801.5
8.012e+04     773.3
6.482e+04     748.4
5.244e+04     727.0
4.242e+04     708.6
3.432e+04     691.8
2.777e+04     676.8
2.246e+04     664.1
1.817e+04     652.7
1.470e+04     642.1
1.189e+04     632.7
9.622e+03     624.6
7.784e+03     617.5
6.297e+03     611.4
5.095e+03     606.4
4.122e+03     602.0
3.334e+03     598.1
2.698e+03     594.8
2.182e+03     592.1
1.765e+03     589.6
1.428e+03     587.3
1.155e+03     585.4
9.348e+02     583.6
7.562e+02     581.8
6.118e+02     580.2
4.949e+02     578.8
4.004e+02     577.5
3.239e+02     576.3
2.621e+02     575.3
2.120e+02     574.3
1.715e+02     573.4
1.388e+02     572.4
1.123e+02     571.5
9.082e+01     570.7
7.347e+01     569.9
5.944e+01     569.1
4.808e+01     568.2
3.890e+01     567.1
3.147e+01     565.8
2.546e+01     564.0
2.060e+01     561.9
1.666e+01     559.6
1.348e+01     556.9
1.091e+01     554.1
8.823e+00     551.6
7.138e+00     549.9
5.774e+00     549.1
