#(dyne/cm2) (K)
Pressure	 Temp
9.125e+07    2953.5
7.598e+07    2802.0
6.326e+07    2658.2
5.267e+07    2521.8
4.386e+07    2392.4
3.652e+07    2269.6
3.041e+07    2153.2
2.532e+07    2042.7
2.108e+07    1937.9
1.755e+07    1843.4
1.461e+07    1758.5
1.217e+07    1681.9
1.013e+07    1612.7
8.436e+06    1548.3
7.024e+06    1486.0
5.849e+06    1426.0
4.870e+06    1367.7
4.055e+06    1307.6
3.376e+06    1240.5
2.811e+06    1176.8
2.341e+06    1116.5
1.949e+06    1059.2
1.623e+06    1004.8
1.351e+06     953.2
1.125e+06     904.3
9.367e+05     857.9
7.800e+05     813.9
6.494e+05     772.1
5.407e+05     734.1
4.502e+05     700.0
3.749e+05     668.3
3.121e+05     638.5
2.599e+05     610.7
2.164e+05     585.3
1.802e+05     561.8
1.500e+05     539.8
1.249e+05     519.5
1.040e+05     501.1
8.660e+04     484.1
7.211e+04     468.5
6.004e+04     453.8
4.999e+04     440.4
4.162e+04     428.2
3.466e+04     416.7
2.886e+04     405.8
2.403e+04     395.6
2.001e+04     386.3
1.666e+04     377.3
1.387e+04     368.7
1.155e+04     360.9
9.616e+03     353.7
8.007e+03     346.9
6.667e+03     340.2
5.551e+03     333.7
4.622e+03     327.5
3.848e+03     321.4
3.204e+03     315.3
2.668e+03     309.8
2.221e+03     304.6
1.850e+03     299.7
1.540e+03     294.5
1.282e+03     289.0
1.068e+03     283.2
8.890e+02     277.0
7.402e+02     270.8
6.163e+02     264.4
5.132e+02     258.5
4.273e+02     253.0
3.558e+02     247.9
2.962e+02     243.3
2.467e+02     239.5
2.054e+02     236.1
1.710e+02     233.2
1.424e+02     230.8
1.186e+02     228.5
9.871e+01     226.6
8.219e+01     224.9
6.844e+01     223.4
5.698e+01     222.1
4.745e+01     221.1
3.951e+01     219.9
3.289e+01     218.8
2.739e+01     218.0
2.280e+01     217.2
1.899e+01     216.6
1.581e+01     216.1
1.316e+01     215.6
1.096e+01     215.3
9.126e+00     215.0
7.599e+00     214.8
6.327e+00     214.6
5.268e+00     214.4
4.387e+00     214.3
3.652e+00     214.2
3.041e+00     214.1
2.532e+00     214.1
2.108e+00     214.0
1.755e+00     214.0
1.462e+00     213.9
1.217e+00     213.9
1.013e+00     213.9
8.438e-01     213.9
7.025e-01     213.9
5.850e-01     213.8
4.871e-01     213.8
4.055e-01     213.8
3.377e-01     213.8
2.812e-01     213.8
2.341e-01     213.8
1.949e-01     213.8
1.623e-01     213.8
1.351e-01     213.8
1.125e-01     213.8
9.369e-02     213.8
7.801e-02     213.8
6.495e-02     213.8
5.408e-02     213.8
4.503e-02     213.8
3.749e-02     213.8
3.122e-02     213.8
2.599e-02     213.8
2.164e-02     213.8
1.802e-02     213.8
1.501e-02     213.8
1.249e-02     213.8
1.040e-02     213.7
8.662e-03     213.7
7.212e-03     213.7
6.005e-03     213.7
5.000e-03     213.7
