#(dyne/cm2) (K)
Pressure	 Temp
5.012E+07      2745.0
4.320E+07      2658.0
3.724E+07      2571.0
3.211E+07      2486.0
2.768E+07      2401.0
2.386E+07      2318.0
2.057E+07      2235.0
1.773E+07      2155.0
1.528E+07      2076.0
1.318E+07      1999.0
1.136E+07      1924.0
9.792E+06      1850.0
8.441E+06      1780.0
7.277E+06      1710.0
6.273E+06      1650.0
5.408E+06      1590.0
4.662E+06      1542.0
4.018E+06      1496.0
3.464E+06      1455.0
2.986E+06      1416.0
2.574E+06      1379.0
2.219E+06      1342.0
1.913E+06      1306.0
1.649E+06      1269.0
1.422E+06      1232.0
1.226E+06      1188.0
1.056E+06      1144.0
9.107E+05      1098.0
7.851E+05      1051.0
6.768E+05      1007.0
5.834E+05       964.4
5.029E+05       923.7
4.336E+05       884.3
3.738E+05       846.4
3.222E+05       810.4
2.778E+05       775.2
2.394E+05       742.3
2.064E+05       709.9
1.779E+05       682.3
1.534E+05       654.7
1.322E+05       631.0
1.140E+05       607.6
9.826E+04       586.8
8.471E+04       566.7
7.302E+04       548.2
6.295E+04       530.8
5.427E+04       514.4
4.678E+04       499.3
4.033E+04       484.6
3.476E+04       471.6
2.997E+04       458.6
2.583E+04       447.3
2.227E+04       436.0
1.920E+04       426.2
1.655E+04       416.6
1.427E+04       407.9
1.230E+04       399.5
1.060E+04       391.7
9.139E+03       384.3
7.879E+03       377.2
6.792E+03       370.7
5.855E+03       364.3
5.047E+03       358.5
4.351E+03       352.7
3.751E+03       347.5
3.233E+03       342.2
2.787E+03       337.5
2.403E+03       332.9
2.071E+03       328.4
1.786E+03       324.1
1.539E+03       319.8
1.327E+03       315.6
1.144E+03       311.4
9.861E+02       307.3
8.500E+02       303.2
7.328E+02       299.1
6.317E+02       295.1
5.446E+02       291.3
4.694E+02       287.4
4.047E+02       283.9
3.488E+02       280.4
3.007E+02       276.9
2.592E+02       273.5
2.235E+02       270.2
1.926E+02       266.9
1.661E+02       263.7
1.432E+02       260.6
1.234E+02       257.4
1.064E+02       254.3
9.171E+01       251.2
7.906E+01       248.0
6.816E+01       244.8
5.875E+01       241.8
5.065E+01       238.8
4.366E+01       236.3
3.764E+01       234.1
3.245E+01       232.0
2.797E+01       230.0
2.411E+01       228.1
2.079E+01       226.4
1.792E+01       224.7
1.545E+01       223.3
1.332E+01       221.9
1.148E+01       220.8
9.895E+00       219.6
8.530E+00       218.6
7.354E+00       217.6
6.339E+00       216.7
5.465E+00       215.9
4.711E+00       215.1
4.061E+00       214.4
3.501E+00       213.7
3.018E+00       213.1
2.602E+00       212.5
2.243E+00       212.0
1.933E+00       211.5
1.667E+00       211.0
1.437E+00       210.6
1.239E+00       210.2
1.068E+00       209.8
9.204E-01       210.7
7.934E-01       211.0
6.840E-01       211.2
5.896E-01       211.4
5.083E-01       211.7
4.382E-01       212.0
3.777E-01       212.4
3.256E-01       212.8
2.807E-01       213.3
2.420E-01       213.9
2.086E-01       214.6
1.798E-01       215.4
1.550E-01       216.3
1.336E-01       217.4
1.152E-01       218.7
9.930E-02       220.2
8.560E-02       222.0
7.379E-02       224.2
6.361E-02       226.7
5.484E-02       229.6
4.727E-02       233.2
4.075E-02       237.4
3.513E-02       242.6
3.028E-02       248.8
2.611E-02       256.5
2.250E-02       266.0
1.940E-02       277.9
1.672E-02       293.3
1.442E-02       313.0
1.243E-02       340.2
1.071E-02       377.9
9.236E-03       429.1
7.962E-03       484.1
6.864E-03       539.6
5.917E-03       594.0
5.100E-03       646.3
4.397E-03       695.3
3.790E-03       740.3
3.267E-03       780.8
2.817E-03       816.5
2.428E-03       847.6
2.093E-03       874.3
1.804E-03       896.9
1.556E-03       915.6
1.341E-03       931.3
1.156E-03       944.2
9.965E-04       954.8
8.590E-04       963.5
7.405E-04       970.5
6.384E-04       976.3
5.503E-04       980.9
4.744E-04       984.7
4.090E-04       987.7
3.525E-04       990.1
3.039E-04       992.1
2.620E-04       993.6
2.258E-04       994.9
1.947E-04       995.9
1.678E-04       996.7
1.447E-04       997.4
1.247E-04       997.9
1.075E-04       998.3
9.268E-05       998.7
7.990E-05       998.9
6.888E-05       999.1
5.937E-05       999.3
5.118E-05       999.5
4.412E-05       999.6
3.804E-05       999.6
3.279E-05       999.7
2.827E-05       999.8
2.437E-05       999.8
2.101E-05       999.9
1.811E-05       999.9
1.561E-05       999.9
1.346E-05       999.9
1.160E-05       999.9
1.000E-05      1000.0
