#(dyn/cm2)      (K)  (cm2/s)  from A.Seiff 1985; Kzz from Krasnopolsky1994 (<47 km) and Krasnopolsky2012 (>47 km)
Pressure     Temp      Kzz
9.210e+07     735.3   2.200e+03
8.645e+07     727.7   2.200e+03
8.109e+07     720.2   2.200e+03
7.601e+07     712.4   2.200e+03
7.120e+07     704.6   2.200e+03
6.665e+07     696.8   2.200e+03
6.235e+07     688.8   2.200e+03
5.828e+07     681.1   2.200e+03
5.444e+07     673.6   2.200e+03
5.081e+07     665.8   2.200e+03
4.739e+07     658.2   2.200e+03
4.416e+07     650.6   2.200e+03
4.112e+07     643.2   2.200e+03
3.826e+07     635.5   2.200e+03
3.557e+07     628.1   2.200e+03
3.304e+07     620.8   2.200e+03
3.066e+07     613.3   2.200e+03
2.843e+07     605.2   2.200e+03
2.633e+07     597.1   2.200e+03
2.436e+07     589.3   2.200e+03
2.252e+07     580.7   2.200e+03
2.079e+07     572.4   2.200e+03
1.917e+07     564.3   2.200e+03
1.766e+07     556.0   2.200e+03
1.625e+07     547.5   2.200e+03
1.493e+07     539.2   2.200e+03
1.370e+07     530.7   2.200e+03
1.256e+07     522.3   2.200e+03
1.149e+07     513.8   2.200e+03
1.050e+07     505.6   2.200e+03
9.581e+06     496.9   2.200e+03
8.729e+06     488.3   2.393e+03
7.940e+06     479.9   2.603e+03
7.211e+06     471.7   2.831e+03
6.537e+06     463.4   3.080e+03
5.916e+06     455.0   3.350e+03
5.345e+06     446.8   3.644e+03
4.820e+06     438.6   3.964e+03
4.338e+06     430.8   4.312e+03
3.897e+06     423.3   4.690e+03
3.495e+06     415.5   5.102e+03
3.127e+06     408.1   5.549e+03
2.793e+06     401.6   6.036e+03
2.491e+06     395.0   6.566e+03
2.216e+06     388.3   7.142e+03
1.969e+06     381.8   7.769e+03
1.745e+06     376.1   8.451e+03
1.544e+06     370.2   9.192e+03
1.364e+06     364.6   1.000e+04
1.202e+06     357.5   1.000e+04
1.057e+06     349.7   1.000e+04
9.258e+05     341.1   1.000e+04
8.087e+05     332.5   1.000e+04
7.036e+05     321.9   1.000e+04
6.095e+05     312.3   1.000e+04
5.255e+05     301.4   1.000e+04
4.505e+05     290.2   1.000e+04
3.839e+05     278.3   1.000e+04
3.249e+05     267.4   1.000e+04
2.733e+05     258.7   1.000e+04
2.289e+05     253.3   1.000e+04
1.591e+05     246.2   1.413e+04
1.096e+05     240.7   1.995e+04
7.489e+04     235.8   2.818e+04
5.082e+04     231.9   3.981e+04
3.428e+04     228.2   5.623e+04
2.298e+04     224.6   7.943e+04
1.531e+04     221.0   1.122e+05
1.012e+04     216.2   1.585e+05
6.625e+03     210.4   2.239e+05
4.278e+03     202.5   3.162e+05
2.718e+03     195.5   4.467e+05
1.699e+03     188.6   6.310e+05
1.044e+03     181.8   8.913e+05
6.317e+02     176.6   1.259e+06
3.772e+02     172.3   1.778e+06
2.233e+02     170.4   2.512e+06
1.317e+02     169.5   3.548e+06
7.768e+01     170.0   5.012e+06
4.595e+01     170.9   7.079e+06
2.729e+01     172.2   1.000e+07
