# WL(nm)    Flux(ergs/cm**2/s/nm)
1.001   5.957761E+01
1.002   5.961521E+01
1.003   5.978435E+01
1.004   5.984934E+01
1.004   5.993841E+01
1.006   6.022068E+01
1.006   6.326239E+01
1.008   6.070773E+01
1.009   6.046161E+01
1.010   6.078009E+01
1.011   6.786063E+01
1.012   1.476264E+02
1.012   1.030269E+02
1.014   6.126998E+01
1.014   6.140810E+01
1.016   6.199390E+01
1.016   6.131119E+01
1.018   6.143181E+01
1.019   6.213859E+01
1.020   6.174386E+01
1.020   6.240131E+01
1.022   6.184732E+01
1.022   6.194305E+01
1.024   1.356157E+03
1.024   6.216784E+01
1.026   6.227314E+01
1.027   6.238500E+01
1.028   6.249663E+01
1.028   6.502203E+01
1.030   6.281033E+01
1.030   6.288079E+01
1.032   6.344598E+01
1.032   6.322646E+01
1.034   6.313841E+01
1.035   6.324520E+01
1.036   6.352617E+01
1.036   7.389719E+01
1.038   5.733243E+01
1.038   5.745444E+01
1.040   1.584582E+02
1.040   5.759429E+01
1.041   5.769570E+01
1.043   5.779357E+01
1.044   6.185783E+01
1.044   7.142627E+01
1.046   5.897950E+01
1.046   6.305420E+01
1.048   6.086912E+01
1.048   7.464441E+01
1.049   5.852311E+01
1.051   2.685805E+02
1.052   6.495043E+01
1.052   5.874890E+01
1.054   1.138133E+02
1.054   6.168345E+01
1.056   6.783620E+01
1.056   6.875472E+01
1.057   5.974188E+01
1.059   6.164390E+01
1.060   6.817003E+01
1.060   5.977589E+01
1.062   5.986351E+01
1.062   6.054904E+01
1.064   5.991419E+01
1.065   6.326997E+01
1.065   2.383498E+02
1.067   6.024380E+01
1.068   6.087046E+01
1.069   6.122622E+01
1.070   6.064300E+01
1.071   6.169246E+01
1.072   6.054277E+01
1.073   6.082304E+01
1.073   6.080519E+01
1.075   6.127860E+01
1.076   6.095364E+01
1.077   5.229421E+02
1.078   3.867830E+02
1.079   6.354013E+01
1.080   6.133252E+01
1.081   6.134646E+01
1.081   7.306671E+01
1.083   6.179127E+01
1.084   6.191050E+01
1.085   6.246497E+01
1.086   6.535362E+01
1.087   6.187379E+01
1.088   6.193823E+01
1.089   6.204402E+01
1.089   6.223248E+01
1.091   6.226457E+01
1.091   6.233160E+01
1.093   6.239533E+01
1.094   6.248434E+01
1.095   6.288410E+01
1.096   6.263652E+01
1.097   6.269340E+01
1.097   6.281029E+01
1.099   6.311031E+01
1.099   6.305607E+01
1.101   1.120322E+03
1.102   6.313073E+01
1.103   1.849748E+02
1.104   6.362677E+01
1.105   6.343084E+01
1.105   7.974138E+01
1.107   6.357979E+01
1.107   6.368229E+01
1.109   6.947954E+01
1.110   6.555486E+01
1.111   6.410749E+01
1.112   6.403731E+01
1.113   6.411709E+01
1.113   5.506274E+02
1.115   6.436345E+01
1.115   6.647542E+01
1.117   6.451251E+01
1.118   6.505760E+01
1.119   8.605432E+01
1.120   6.469013E+01
1.121   6.477185E+01
1.121   6.490606E+01
1.123   6.550096E+01
1.123   6.570846E+01
1.125   1.039037E+02
1.126   7.552917E+02
1.127   6.548723E+01
1.128   6.978391E+01
1.129   6.613427E+01
1.129   8.456142E+01
1.131   7.058470E+01
1.131   6.633946E+01
1.133   1.354838E+02
1.134   6.837907E+01
1.135   6.598346E+01
1.136   6.603849E+01
1.137   6.613926E+01
1.137   6.636197E+01
1.139   6.663003E+01
1.139   7.865414E+01
1.141   9.978500E+01
1.141   6.654313E+01
1.143   1.324197E+02
1.144   6.667575E+01
1.145   9.426935E+01
1.145   1.391177E+02
1.147   7.541779E+01
1.147   7.219588E+01
1.149   6.703552E+01
1.149   6.713428E+01
1.151   6.719967E+01
1.152   6.731320E+01
1.153   1.407524E+02
1.153   1.237575E+02
