# WL(nm)  Flux(ergs/cm**2/s/nm)
0.5499443054  6.550867E+00
0.6499443054  3.297548E+01
0.7499443054  5.311390E+01
0.8499443054  8.838286E+01
0.9499443054  2.537219E+02
1.0499443054  2.588961E+02
1.1499443054  4.273562E+02
1.2499443054  5.090697E+02
1.3499443054  2.373784E+03
1.4499443054  7.728973E+02
1.5499443054  2.474096E+03
1.6499443054  1.975739E+03
1.7499443054  2.864348E+03
1.8499443054  1.276826E+04
1.9499443054  9.982674E+02
2.0499443054  5.560964E+02
2.1499443054  1.338907E+04
2.2499443054  8.172633E+03
2.3499443054  5.374760E+02
2.4499443054  2.464574E+03
2.5499443054  6.790428E+02
2.6499443054  7.788481E+02
2.7499443054  6.557786E+02
2.8499443054  1.474068E+03
2.9499443054  8.427809E+02
3.0499443054  8.946546E+02
3.1499443054  1.159437E+03
3.2499443054  1.149185E+03
3.3499443054  3.285173E+03
3.4499443054  9.484556E+02
3.5499443054  1.125470E+03
3.6499443054  1.920149E+03
3.7499443054  1.126702E+03
3.8499443054  8.361418E+02
3.9499443054  1.930628E+03
4.0499443054  1.466176E+03
4.1499443054  6.398420E+02
4.2499443054  1.464634E+03
4.3499443054  1.309029E+03
4.4499443054  1.463595E+03
4.5499443054  7.782710E+02
4.6499443054  9.359054E+02
4.7499443054  7.585589E+02
4.8499443054  7.633865E+02
4.9499443054  1.183198E+03
5.0499443054  1.229824E+03
5.1499443054  2.489027E+02
5.2499443054  1.272872E+03
5.3499443054  5.525213E+02
5.4499443054  1.178936E+03
5.5499443054  5.650259E+02
5.6499443054  3.558261E+02
5.7499443054  5.986536E+02
5.8499443054  1.745938E+02
5.9499443054  8.421824E+02
6.0499443054  2.343150E+02
6.1499443054  2.124981E+02
6.2499443054  7.268356E+02
6.3499443054  1.511551E+03
6.4499443054  4.483517E+02
6.5499443054  4.882574E+02
6.6499443054  8.688884E+02
6.7499443054  2.228567E+02
6.8499443054  1.725243E+02
6.9499443054  2.107207E+03
7.0499443054  3.266843E+02
7.1499443054  1.429968E+02
7.2499443054  1.833552E+02
7.3499443054  8.629725E+02
7.4499443054  1.615926E+02
7.5499443054  2.345489E+02
7.6499443054  2.193195E+02
7.7499443054  1.783552E+02
7.8499443054  1.353025E+02
7.9499443054  1.177510E+02
8.0499443054  1.170468E+02
8.1499443054  1.534513E+02
8.2499443054  1.642328E+02
8.3499443054  1.873139E+02
8.4499443054  1.072432E+02
8.5499443054  1.104033E+02
8.6499443054  1.206001E+02
8.7499443054  2.593032E+02
8.8499443054  2.022787E+02
8.9499443054  1.175005E+02
9.0499443054  1.364215E+02
9.1499443054  1.384801E+02
9.2499443054  9.135730E+01
9.3499443054  1.185558E+02
9.4499443054  9.694466E+01
9.5499443054  1.227859E+02
9.6499443054  1.276385E+02
9.7499443054  1.802073E+02
9.8499443054  3.539176E+02
9.9499443054  8.610485E+01
10.0499443054  3.378865E+03
10.1499443054  3.380702E+03
10.2499443054  3.380702E+03
10.3499443054  3.380702E+03
10.4499443054  3.380702E+03
10.5499443054  3.380702E+03
10.6499443054  3.380702E+03
10.7499443054  3.380702E+03
10.8499443054  3.380702E+03
10.9499443054  3.380702E+03
11.0499443054  3.380702E+03
11.1499443054  3.380702E+03
11.2499443054  3.380702E+03
11.3499443054  3.380702E+03
11.4499443054  3.380702E+03
11.5499443054  3.380702E+03
11.6499443054  3.380702E+03
11.7499443054  3.380702E+03
11.8499443054  3.380702E+03
11.9499443054  3.380702E+03
12.0499443054  3.380702E+03
12.1499443054  3.380702E+03
12.2499443054  3.380702E+03
12.3499443054  3.380702E+03
12.4499443054  3.380702E+03
12.5499443054  3.380702E+03
12.6499443054  3.380702E+03
12.7499443054  3.380702E+03
12.8499443054  3.380702E+03
12.9499443054  3.380702E+03
13.0499443054  3.380702E+03
13.1499443054  3.380702E+03
13.2499443054  3.380702E+03
13.3499443054  3.380702E+03
13.4499443054  3.380702E+03
13.5499443054  3.380702E+03
13.6499443054  3.380702E+03
13.7499443054  3.380702E+03
13.8499443054  3.380702E+03
13.9499443054  3.380702E+03
14.0499443054  3.380702E+03
14.1499443054  3.380702E+03
14.2499443054  3.380702E+03
14.3499443054  3.380702E+03
14.4499443054  3.380702E+03
14.5499443054  3.380702E+03
14.6499443054  3.380702E+03
14.7499443054  3.380702E+03
14.8499443054  3.380702E+03
14.9499443054  3.380702E+03
15.0499443054  3.380702E+03
15.1499443054  3.380702E+03
15.2499443054  3.380702E+03
15.3499443054  3.380702E+03
15.4499443054  3.380702E+03
15.5499443054  3.380702E+03
15.6499443054  3.380702E+03
15.7499443054  3.380702E+03
15.8499443054  3.380702E+03
15.9499443054  3.380702E+03
16.0499443054  3.380702E+03
16.1499443054  3.380702E+03
16.2499443054  3.380702E+03
16.3499443054  3.380702E+03
16.4499443054  3.380702E+03
16.5499443054  3.380702E+03
16.6499443054  3.380702E+03
16.7499443054  3.380702E+03
16.8499443054  3.380702E+03
16.9499443054  3.380702E+03
17.0499443054  3.380702E+03
17.1499443054  3.380702E+03
17.2499443054  3.380702E+03
17.3499443054  3.380702E+03
17.4499443054  3.380702E+03
17.5499443054  3.380702E+03
17.6499443054  3.380702E+03
17.7499443054  3.380702E+03
17.8499443054  3.380702E+03
17.9499443054  3.380702E+03
18.0499443054  3.380702E+03
18.1499443054  3.380702E+03
18.2499443054  3.380702E+03
18.3499443054  3.380702E+03
18.4499443054  3.380702E+03
18.5499443054  3.380702E+03
18.6499443054  3.380702E+03
18.7499443054  3.380702E+03
18.8499443054  3.380702E+03
18.9499443054  3.380702E+03
19.0499443054  3.380702E+03
19.1499443054  3.380702E+03
19.2499443054  3.380702E+03
19.3499443054  3.380702E+03
19.4499443054  3.380702E+03
19.5499443054  3.380702E+03
19.6499443054  3.380702E+03
19.7499443054  3.380702E+03
19.8499443054  3.380702E+03
19.9499443054  3.380702E+03
20.0499443054  2.965110E+03
20.1499443054  2.964879E+03
20.2499443054  2.964879E+03
20.3499443054  2.964879E+03
20.4499443054  2.964879E+03
20.5499443054  2.964879E+03
20.6499443054  2.964879E+03
20.7499443054  2.964879E+03
20.8499443054  2.964879E+03
20.9499443054  2.964879E+03
21.0499443054  2.964879E+03
21.1499443054  2.964879E+03
21.2499443054  2.964879E+03
21.3499443054  2.964879E+03
21.4499443054  2.964879E+03
21.5499443054  2.964879E+03
21.6499443054  2.964879E+03
21.7499443054  2.964879E+03
21.8499443054  2.964879E+03
21.9499443054  2.964879E+03
22.0499443054  2.964879E+03
22.1499443054  2.964879E+03
22.2499443054  2.964879E+03
22.3499443054  2.964879E+03
22.4499443054  2.964879E+03
22.5499443054  2.964879E+03
22.6499443054  2.964879E+03
22.7499443054  2.964879E+03
22.8499443054  2.964879E+03
22.9499443054  2.964879E+03
23.0499443054  2.964879E+03
23.1499443054  2.964879E+03
23.2499443054  2.964879E+03
23.3499443054  2.964879E+03
23.4499443054  2.964879E+03
23.5499443054  2.964879E+03
23.6499443054  2.964879E+03
23.7499443054  2.964879E+03
23.8499443054  2.964879E+03
23.9499443054  2.964879E+03
24.0499443054  2.964879E+03
24.1499443054  2.964879E+03
24.2499443054  2.964879E+03
24.3499443054  2.964879E+03
24.4499443054  2.964879E+03
24.5499443054  2.964879E+03
24.6499443054  2.964879E+03
24.7499443054  2.964879E+03
24.8499443054  2.964879E+03
24.9499443054  2.964879E+03
25.0499443054  2.964879E+03
25.1499443054  2.964879E+03
25.2499443054  2.964879E+03
25.3499443054  2.964879E+03
25.4499443054  2.964879E+03
25.5499443054  2.964879E+03
25.6499443054  2.964879E+03
25.7499443054  2.964879E+03
25.8499443054  2.964879E+03
25.9499443054  2.964879E+03
26.0499443054  2.964879E+03
26.1499443054  2.964879E+03
26.2499443054  2.964879E+03
26.3499443054  2.964879E+03
26.4499443054  2.964879E+03
26.5499443054  2.964879E+03
26.6499443054  2.964879E+03
26.7499443054  2.964879E+03
26.8499443054  2.964879E+03
26.9499443054  2.964879E+03
27.0499443054  2.964879E+03
27.1499443054  2.964879E+03
27.2499443054  2.964879E+03
27.3499443054  2.964879E+03
27.4499443054  2.964879E+03
27.5499443054  2.964879E+03
27.6499443054  2.964879E+03
27.7499443054  2.964879E+03
27.8499443054  2.964879E+03
27.9499443054  2.964879E+03
28.0499443054  2.964879E+03
28.1499443054  2.964879E+03
28.2499443054  2.964879E+03
28.3499443054  2.964879E+03
28.4499443054  2.964879E+03
28.5499443054  2.964879E+03
28.6499443054  2.964879E+03
28.7499443054  2.964879E+03
28.8499443054  2.964879E+03
28.9499443054  2.964879E+03
29.0499443054  2.964879E+03
29.1499443054  2.964879E+03
29.2499443054  2.964879E+03
29.3499443054  2.964879E+03
29.4499443054  2.964879E+03
29.5499443054  2.964879E+03
29.6499443054  2.964879E+03
29.7499443054  2.964879E+03
29.8499443054  2.964879E+03
29.9499443054  2.964879E+03
30.0499443054  2.618418E+03
30.1499443054  2.618225E+03
30.2499443054  2.618225E+03
30.3499443054  2.618225E+03
30.4499443054  2.618225E+03
30.5499443054  2.618225E+03
30.6499443054  2.618225E+03
30.7499443054  2.618225E+03
30.8499443054  2.618225E+03
30.9499443054  2.618225E+03
31.0499443054  2.618225E+03
31.1499443054  2.618225E+03
31.2499443054  2.618225E+03
31.3499443054  2.618225E+03
31.4499443054  2.618225E+03
31.5499443054  2.618225E+03
31.6499443054  2.618225E+03
31.7499443054  2.618225E+03
31.8499443054  2.618225E+03
31.9499443054  2.618225E+03
32.0499443054  2.618225E+03
32.1499443054  2.618225E+03
32.2499443054  2.618225E+03
32.3499443054  2.618225E+03
32.4499443054  2.618225E+03
32.5499443054  2.618225E+03
32.6499443054  2.618225E+03
32.7499443054  2.618225E+03
32.8499443054  2.618225E+03
32.9499443054  2.618225E+03
33.0499443054  2.618225E+03
33.1499443054  2.618225E+03
33.2499443054  2.618225E+03
33.3499443054  2.618225E+03
33.4499443054  2.618225E+03
33.5499443054  2.618225E+03
33.6499443054  2.618225E+03
33.7499443054  2.618225E+03
33.8499443054  2.618225E+03
33.9499443054  2.618225E+03
34.0499443054  2.618225E+03
34.1499443054  2.618225E+03
34.2499443054  2.618225E+03
34.3499443054  2.618225E+03
34.4499443054  2.618225E+03
34.5499443054  2.618225E+03
34.6499443054  2.618225E+03
34.7499443054  2.618225E+03
34.8499443054  2.618225E+03
34.9499443054  2.618225E+03
35.0499443054  2.618225E+03
35.1499443054  2.618225E+03
35.2499443054  2.618225E+03
35.3499443054  2.618225E+03
35.4499443054  2.618225E+03
35.5499443054  2.618225E+03
35.6499443054  2.618225E+03
35.7499443054  2.618225E+03
35.8499443054  2.618225E+03
35.9499443054  2.618225E+03
36.0499443054  2.618225E+03
36.1499443054  2.618225E+03
36.2499443054  2.618225E+03
36.3499443054  2.618225E+03
36.4499443054  2.618225E+03
36.5499443054  2.618225E+03
36.6499443054  2.618225E+03
36.7499443054  2.618225E+03
36.8499443054  2.618225E+03
36.9499443054  2.618225E+03
37.0499443054  2.618225E+03
37.1499443054  2.618225E+03
37.2499443054  2.618225E+03
37.3499443054  2.618225E+03
37.4499443054  2.618225E+03
37.5499443054  2.618225E+03
37.6499443054  2.618225E+03
37.7499443054  2.618225E+03
37.8499443054  2.618225E+03
37.9499443054  2.618225E+03
38.0499443054  2.618225E+03
38.1499443054  2.618225E+03
38.2499443054  2.618225E+03
38.3499443054  2.618225E+03
38.4499443054  2.618225E+03
38.5499443054  2.618225E+03
38.6499443054  2.618225E+03
38.7499443054  2.618225E+03
38.8499443054  2.618225E+03
38.9499443054  2.618225E+03
39.0499443054  2.618225E+03
39.1499443054  2.618225E+03
39.2499443054  2.618225E+03
39.3499443054  2.618225E+03
39.4499443054  2.618225E+03
39.5499443054  2.618225E+03
39.6499443054  2.618225E+03
39.7499443054  2.618225E+03
39.8499443054  2.618225E+03
39.9499443054  2.618225E+03
40.0499443054  3.257782E+01
40.1499443054  3.113696E+01
40.2499443054  3.113696E+01
40.3499443054  3.113696E+01
40.4499443054  3.113696E+01
40.5499443054  3.113696E+01
40.6499443054  3.113696E+01
40.7499443054  3.113696E+01
40.8499443054  3.113696E+01
40.9499443054  3.113696E+01
41.0499443054  3.113696E+01
41.1499443054  3.113696E+01
